archive_name,archive_link
AsiaMap_Temple_20250829_170025.zip,https://drive.google.com/file/d/19Xa_dkE2mqLeKDHJi53OGBa_Pf6_30kq/view?usp=drive_link
Australia_DesertForest_20250901_141200.zip,https://drive.google.com/file/d/1B2jneTCFxzgO-TWwf1neSfrt4F5JownK/view?usp=drive_link
BeachMap_PlajaPublica_20250825_200704 - Copy.zip,https://drive.google.com/file/d/1oTyFWorFypfe3yju_y0jw6ZJNXZA8KQ3/view?usp=drive_link
CityMap_Intersection_20250828_164320.zip,https://drive.google.com/file/d/1LqeQK0SiCsLS2t40HHn67ptrThdT8XPD/view?usp=drive_link
ConstructionSite_Quarry_20250901_172755.zip,https://drive.google.com/file/d/19R44rWvkvtp8a0fbG5ikdk4PJWMrv0Kk/view?usp=drive_link
Desert_SavanaDesert_20250828_160024.zip,https://drive.google.com/file/d/15lppkDgGooiuJ9RceFpeb-lA3yNqB4T3/view?usp=drive_link
Farm_Barns_20250902_165109.zip,https://drive.google.com/file/d/1p4WAnpgh2olbGMYoxk_5stQbAFGCbCLg/view?usp=drive_link
Farm_ConstructionSite_20250902_170847.zip,https://drive.google.com/file/d/1kaWgoINxD0UoevSXYPz3HcjcqNK6PSSc/view?usp=drive_link
Farm_OldBarn_20250902_165933.zip,https://drive.google.com/file/d/1VZzZsicLkq2lUREYEKNayT0BCmQ1Pcon/view?usp=drive_link
Inchisoarenobug_Invhisoarenobug_20250829_164854.zip,https://drive.google.com/file/d/10rbqLu_zjLTVFbkLPAB3tq-6_VPjFH8Y/view?usp=drive_link
MedievalVillage.zip,https://drive.google.com/file/d/1iaYd2mGTGP9BYwtQjK1H3SATb1LWHS_k/view?usp=drive_link
Military_AirField_20250902_161125.zip,https://drive.google.com/file/d/17RdweMYO2aiY-GuAIkBms7T3e_Y8TIuF/view?usp=drive_link
Military_ConstructionSite_20250902_160105.zip,https://drive.google.com/file/d/1M-jem_prlZMYQKd8ni5CJEdbZrKXSJuZ/view?usp=drive_link
Military_Helicopter_20250902_162340.zip,https://drive.google.com/file/d/1Byaar_RHUZI2n6FkjdEPGdc5Us1_dZBS/view?usp=drive_link
Munte_Sat_20250826_142259.zip,https://drive.google.com/file/d/1cdaiky2Jcgci8jW9BBXu1v4AovtK56yR/view?usp=drive_link
RussianVillage3_RussianTown3_20250827_141135.zip,https://drive.google.com/file/d/1tnAHGQdBGP0_0rzSw-9BrMzTPMGY5exo/view?usp=drive_link
